Name,Mileage,Dealer Name,Rating,Review Count,Price
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"11,166 mi.",Mercedes Benz of Hoffman Estates,4.7,"1,073 ","$75,999"
2019 Mercedes-Benz CLA 250 Base,"7,433 mi.",Mercedes-Benz of Modesto,4.4,139 ,"$35,894"
2020 Mercedes-Benz GLE 350 Base,"23,198 mi.",Mercedes-Benz of Atlanta Northeast,4.8,"1,804 ","$64,992"
2018 Mercedes-Benz E-Class E 400,"23,522 mi.",Mercedes-Benz of Houston North,4.5,"1,193 ","$63,998"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"15,937 mi.",Mercedes-Benz of Naperville,4.6,543 ,"$64,500"
2019 Mercedes-Benz S-Class S 560 4MATIC,"33,375 mi.",Mercedes-Benz of Westwood,4.5,426 ,"$94,503"
2018 Mercedes-Benz C-Class C 300,"24,596 mi.",Mercedes-Benz of Sarasota,4.6,"1,249 ","$33,990"
2019 Mercedes-Benz GLC 300 4MATIC Coupe,"41,421 mi.",Mercedes-Benz of Akron,4.2,58 ,"$49,611"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"14,723 mi.",Mercedes-Benz of Arrowhead,4.5,230 ,"$43,985"
2018 Mercedes-Benz GLA 250 Base 4MATIC,"24,238 mi.",Mercedes-Benz of Pleasanton,2.4,53 ,"$32,092"
2021 Mercedes-Benz AMG G 63 Base,"8,619 mi.",Mercedes-Benz of South Charlotte,4.8,"1,184 ","$268,914"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"24,803 mi.",Mercedes-Benz of Fairfield,4.6,289 ,"$58,000"
2018 Mercedes-Benz C-Class C 300 4MATIC,"38,901 mi.",Mercedes-Benz of South Orlando,4.7,"1,157 ","$34,701"
2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,"14,762 mi.",Mercedes-Benz of Catonsville,4.2,398 ,"$66,563"
2019 Mercedes-Benz E-Class E 450,"16,907 mi.",Mercedes-Benz of Tysons Corner,4.5,788 ,"$63,995"
